연도,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
자치구,소계,공공공연장,민간공연장,대공연장(1000석 이상),일반공연장(300~999석),소공연장(300석 미만),소계,대공연장(1000석 이상),일반공연장(300~999석),소공연장(300석 미만),소계,대공연장(1000석 이상),일반공연장(300~999석),소공연장(300석 미만),소계,공공공연장,민간공연장,대공연장(1000석 이상),일반공연장(300~999석),소공연장(300석 미만),소계,공공공연장,민간공연장,대공연장(1000석 이상),일반공연장(300~999석),소공연장(300석 미만),소계,공공공연장,민간공연장,대공연장(1000석 이상),일반공연장(300~999석),소공연장(300석 미만),소계,공공공연장,민간공연장,대공연장(1000석 이상),일반공연장(300~999석),소공연장(300석 미만),소계,공공공연장,민간공연장,대공연장(1000석 이상),일반공연장(300~999석),소공연장(300석 미만),소계,공공공연장,민간공연장,대공연장(1000석 이상),일반공연장(300~999석),소공연장(300석 미만),소계,공공공연장,민간공연장,대공연장(1000석 이상),일반공연장(300~999석),소공연장(300석 미만)
서울,304,88,216,19,104,181,344,19,109,216,381,18,112,251,389,86,303,22,111,256,397,86,311,21,112,264,408,90,318,20,108,280,412,95,317,19,113,280,417,103,314,18,101,298,421,98,323,17,107,297,436,103,333,19,105,312
종로구,105,11,94,1,22,82,141,1,25,115,169,1,25,143,172,10,162,1,26,145,166,9,157,1,25,140,166,10,156,1,24,141,162,10,152,1,27,134,164,11,153,-,23,141,168,12,156,1,25,142,167,12,155,1,25,141
중구,30,12,18,2,17,11,29,2,16,11,34,2,21,11,27,10,17,2,18,7,29,11,18,2,20,7,28,12,16,2,18,8,30,14,16,2,18,10,27,14,13,2,15,10,28,14,14,2,17,9,29,14,15,2,17,10
용산구,6,5,1,2,3,1,7,2,3,2,9,2,3,4,9,6,3,2,3,4,9,6,3,2,3,4,10,6,4,2,3,5,13,7,6,2,4,7,13,7,6,2,4,7,14,7,7,2,4,8,14,7,7,2,4,8
성동구,3,2,1,-,2,1,3,-,2,1,6,-,2,4,8,2,6,-,2,6,8,2,6,-,2,6,8,2,6,-,2,6,8,2,6,-,2,6,9,1,8,-,1,8,8,2,6,-,2,6,10,2,8,-,2,8
광진구,15,4,11,3,8,4,15,3,8,4,15,3,8,4,14,3,11,4,8,2,13,3,10,3,8,2,12,3,9,2,8,2,12,3,9,2,8,2,14,3,11,2,7,5,13,3,10,2,7,4,14,4,10,2,6,6
동대문구,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,1,-,-,1,3,-,3,-,-,3,3,-,3,-,-,3,3,-,3,-,-,3,2,-,2,-,-,2,3,-,3,-,-,3,3,-,3,-,-,3
중랑구,1,1,-,-,1,-,1,-,1,-,1,-,1,-,1,1,-,-,1,-,1,1,-,-,1,-,1,1,-,-,1,-,1,1,-,-,1,-,1,1,-,-,-,1,1,1,-,-,1,-,1,1,-,-,1,-
성북구,6,5,1,-,2,4,6,-,2,4,7,-,2,5,7,5,2,-,2,5,9,5,4,-,2,7,10,5,5,-,2,8,12,6,6,-,2,10,12,6,6,-,1,11,13,7,6,-,2,11,13,7,6,-,2,11
